strain	virus	date	country	continent	division	location	host_type	length	authors	source	lineage	lineage_truncated
CY153850.1	Influenza B virus	2010-12-20	Australia	Oceania			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Zhou,B., Bera,J., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Barr,I., Dhanasekaran,V., Deng,Y.M., Hurt,A., Komadina,N., Smith,G., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	A	A
CY153842.1	Influenza B virus	2010-12-18	Australia	Oceania			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Zhou,B., Bera,J., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Barr,I., Dhanasekaran,V., Deng,Y.M., Hurt,A., Komadina,N., Smith,G., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
CY153834.1	Influenza B virus	2010-12-17	Australia	Oceania			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Zhou,B., Bera,J., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Barr,I., Dhanasekaran,V., Deng,Y.M., Hurt,A., Komadina,N., Smith,G., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	A	A
CY150267.1	Influenza B virus	2010-12-17	Australia	Oceania			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Zhou,B., Bera,J., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Barr,I., Dhanasekaran,V., Deng,Y.M., Hurt,A., Komadina,N., Smith,G., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
CY153818.1	Influenza B virus	2010-12-14	Australia	Oceania			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Zhou,B., Bera,J., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Barr,I., Dhanasekaran,V., Deng,Y.M., Hurt,A., Komadina,N., Smith,G., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
CY150259.1	Influenza B virus	2010-11-30	Australia	Oceania			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Zhou,B., Bera,J., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Barr,I., Dhanasekaran,V., Deng,Y.M., Hurt,A., Komadina,N., Smith,G., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
CY153802.1	Influenza B virus	2010-11-23	Australia	Oceania			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Zhou,B., Bera,J., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Barr,I., Dhanasekaran,V., Deng,Y.M., Hurt,A., Komadina,N., Smith,G., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
CY153810.1	Influenza B virus	2010-11-23	Australia	Oceania			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Zhou,B., Bera,J., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Barr,I., Dhanasekaran,V., Deng,Y.M., Hurt,A., Komadina,N., Smith,G., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
CY153794.1	Influenza B virus	2010-11-22	Australia	Oceania			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Zhou,B., Bera,J., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Barr,I., Dhanasekaran,V., Deng,Y.M., Hurt,A., Komadina,N., Smith,G., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	A	A
CY153786.1	Influenza B virus	2010-11-11	Australia	Oceania			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Zhou,B., Bera,J., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Barr,I., Dhanasekaran,V., Deng,Y.M., Hurt,A., Komadina,N., Smith,G., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
